,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
235,Neco Williams,Defender,Nott'm Forest,20,1872,4,41,0,1,84.0,0,1,0,54,0,0,1,5.0,2023,-36.0
236,Dominic Solanke-Mitchell,Forward,Spurs,25,2199,4,43,89,7,142.1,0,5,0,108,0,1,9,7.5,2025,3.0
237,Dominic Solanke-Mitchell,Forward,Spurs,37,3325,10,61,0,20,272.7,0,3,0,175,0,0,19,7.5,2024,53.0
238,Dominic Solanke-Mitchell,Forward,Spurs,32,2865,8,52,0,14,185.7,0,10,0,130,0,0,6,7.5,2023,30.0
239,Christian Nørgaard,Midfielder,Arsenal,34,2820,6,45,405,7,147.9,0,5,0,107,1,0,5,5.5,2025,41.0
240,Christian Nørgaard,Midfielder,Arsenal,30,2504,6,51,0,3,121.8,0,1,0,74,0,0,2,5.5,2024,-32.0
241,Christian Nørgaard,Midfielder,Arsenal,21,1763,6,23,0,6,82.3,0,6,0,71,0,0,1,5.5,2023,29.0
242,Elliot Anderson,Midfielder,Nott'm Forest,33,2726,13,37,407,8,155.6,0,6,0,107,0,0,2,5.5,2025,90.0
243,Elliot Anderson,Midfielder,Nott'm Forest,10,1018,5,14,0,3,61.1,0,2,0,42,0,0,0,5.5,2024,18.0
244,Elliot Anderson,Midfielder,Nott'm Forest,3,395,1,7,0,2,41.5,0,1,0,30,0,0,0,5.5,2023,4.0
245,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal,31,2790,8,39,0,7,75.8,97,0,0,106,0,0,0,4.5,2025,111.0
246,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal,29,2565,9,33,0,15,73.3,91,0,0,118,0,0,0,4.5,2023,144.0
247,Antonee Robinson,Defender,Fulham,35,3166,5,49,289,8,185.5,0,10,0,106,0,0,0,5.0,2025,29.0
248,Antonee Robinson,Defender,Fulham,37,3266,9,60,0,8,158.6,0,6,0,104,0,2,0,5.0,2024,-19.0
249,Antonee Robinson,Defender,Fulham,35,3088,9,44,0,5,106.3,0,2,0,93,0,0,0,5.0,2023,6.0
250,Ibrahima Konaté,Defender,Liverpool,30,2561,11,28,197,4,87.6,0,2,0,106,0,0,1,5.5,2025,60.0
251,Ibrahima Konaté,Defender,Liverpool,17,1570,6,19,0,2,58.5,0,0,0,56,1,0,0,5.5,2024,9.0
252,Ibrahima Konaté,Defender,Liverpool,17,1551,7,22,0,0,46.8,0,0,0,49,0,1,0,5.5,2023,-0.0
253,Sávio Moreira de Oliveira,Midfielder,Man City,21,1760,8,25,119,15,177.3,0,11,0,106,0,0,1,7.0,2025,81.0
