,role,name,club,season,points,games-started,minutes-played,goals-scored,assists,clean-sheets,goals-conceded,defensive-contribution,own-goals,penalties-saved,saves,bonus,red-cards,ict-index,current-price
693,Defender,Issa Diop,Fulham,2022/23,79,21,2008,1,0,7,26,0,0,0,0,8,0,58.1,£4.5m
694,Defender,Nico O'Reilly,Man City,2024/25,31,6,525,2,0,3,3,24,0,0,0,4,0,32.2,£5.0m
695,Defender,Nico O'Reilly,Man City,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.0m
696,Midfielder,Nico González Iglesias,Man City,2024/25,31,9,760,1,1,6,7,76,0,0,0,0,0,27.5,£6.0m
697,Midfielder,James McAtee,Man City,2024/25,31,3,340,3,0,0,6,16,0,0,0,0,0,30.7,£5.5m
698,Midfielder,James McAtee,Man City,2023/24,77,20,1815,3,4,2,65,0,0,0,0,0,0,106.0,£5.5m
699,Midfielder,James McAtee,Man City,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.5m
700,Midfielder,Diego Gómez Amarilla,Brighton,2024/25,30,4,507,1,1,0,13,71,0,0,0,2,0,33.6,£5.0m
701,Defender,John Stones,Man City,2024/25,29,6,544,2,0,1,11,31,0,0,0,2,0,27.4,£5.5m
702,Defender,John Stones,Man City,2023/24,53,12,1061,1,0,5,9,0,0,0,0,3,0,38.7,£5.5m
703,Defender,John Stones,Man City,2022/23,93,21,1844,2,2,7,17,0,1,0,0,13,0,69.6,£5.5m
704,Defender,Ollie Scarles,West Ham,2024/25,29,7,659,0,0,2,9,54,0,0,0,2,0,18.6,£4.5m
705,Defender,Ollie Scarles,West Ham,2023/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£4.5m
706,Forward,Evan Ferguson,Brighton,2024/25,28,3,385,1,0,1,9,33,0,0,0,2,0,25.0,£5.5m
707,Forward,Evan Ferguson,Brighton,2023/24,69,15,1356,6,1,2,28,0,0,0,0,5,0,77.3,£5.5m
708,Forward,Evan Ferguson,Brighton,2022/23,65,10,942,6,2,6,12,0,0,0,0,8,0,79.9,£5.5m
709,Defender,Ben Davies,Spurs,2024/25,28,14,1329,0,0,3,26,127,0,0,0,0,0,43.7,£4.5m
710,Defender,Ben Davies,Spurs,2023/24,34,12,1085,1,2,1,21,0,0,0,0,0,0,50.3,£4.5m
711,Defender,Ben Davies,Spurs,2022/23,99,26,2284,2,3,9,33,0,0,0,0,3,0,89.9,£4.5m
712,Midfielder,Reiss Nelson,Arsenal,2024/25,27,5,483,1,1,1,9,45,0,0,0,2,0,55.1,£5.0m
713,Midfielder,Reiss Nelson,Arsenal,2023/24,16,1,256,0,0,1,1,0,0,0,0,0,0,16.9,£5.0m
714,Midfielder,Reiss Nelson,Arsenal,2022/23,42,0,202,3,3,1,3,0,0,0,0,5,0,48.0,£5.0m
715,Defender,Axel Tuanzebe,Burnley,2024/25,27,20,1710,0,1,1,38,118,1,0,0,0,1,40.1,£4.0m
716,Defender,Axel Tuanzebe,Burnley,2021/22,14,0,505,0,0,1,10,0,0,0,0,0,0,11.5,£4.0m
717,Defender,Axel Tuanzebe,Burnley,2020/21,7,0,402,0,0,0,8,0,1,0,0,0,0,10.0,£4.0m
718,Defender,Michael Kayode,Brentford,2024/25,27,6,523,0,1,2,5,41,0,0,0,0,0,24.2,£4.5m
719,Midfielder,Kalvin Phillips,Man City,2024/25,27,14,1231,0,0,1,30,163,0,0,0,0,1,33.8,£5.0m
720,Midfielder,Kalvin Phillips,Man City,2023/24,10,3,394,0,0,0,13,0,0,0,0,0,1,9.1,£5.0m
721,Midfielder,Kalvin Phillips,Man City,2022/23,14,2,291,0,0,1,3,0,0,0,0,0,0,12.7,£5.0m
722,Midfielder,Alex Scott,Bournemouth,2024/25,26,8,745,0,0,3,8,104,0,0,0,0,0,43.2,£5.0m
723,Midfielder,Alex Scott,Bournemouth,2023/24,41,11,1003,1,1,3,25,0,0,0,0,3,0,60.7,£5.0m
724,Defender,Wesley Fofana,Chelsea,2024/25,26,14,1172,0,0,2,13,88,0,0,0,2,0,31.9,£4.5m
725,Defender,Wesley Fofana,Chelsea,2023/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£4.5m
726,Defender,Wesley Fofana,Chelsea,2022/23,37,14,1362,1,0,2,24,0,0,0,0,4,0,44.4,£4.5m
727,Midfielder,Roméo Lavia,Chelsea,2024/25,26,11,792,0,1,3,11,88,0,0,0,0,0,24.4,£5.0m
728,Midfielder,Roméo Lavia,Chelsea,2023/24,1,0,32,0,0,0,0,0,0,0,0,0,0,0.6,£5.0m
729,Midfielder,Roméo Lavia,Chelsea,2022/23,57,26,2219,1,1,4,50,0,0,0,0,0,0,64.5,£5.0m
730,Defender,Nathan Aké,Man City,2024/25,25,8,677,0,0,3,11,36,0,0,0,0,0,15.9,£5.5m
731,Defender,Nathan Aké,Man City,2023/24,99,24,2039,2,3,6,20,0,0,0,0,6,0,89.7,£5.5m
732,Defender,Nathan Aké,Man City,2022/23,92,22,1871,1,0,9,15,0,0,0,0,9,0,73.3,£5.5m
733,Midfielder,Mason Mount,Man Utd,2024/25,25,8,613,1,0,3,11,42,0,0,0,0,0,45.6,£6.0m
734,Midfielder,Mason Mount,Man Utd,2023/24,23,5,509,1,0,1,13,0,0,0,0,0,0,27.9,£6.0m
735,Midfielder,Mason Mount,Man Utd,2022/23,82,20,1644,3,4,8,21,0,0,0,0,8,0,117.2,£6.0m
736,Defender,Radu Drăgușin,Spurs,2024/25,24,14,1250,0,0,2,29,87,0,0,0,0,0,36.2,£4.5m
737,Defender,Radu Drăgușin,Spurs,2023/24,14,4,424,0,0,1,7,0,0,0,0,0,0,11.0,£4.5m
738,Midfielder,Luis Sinisterra Lucumí,Bournemouth,2024/25,23,1,229,1,1,0,4,32,0,0,0,2,0,42.3,£5.0m
739,Midfielder,Luis Sinisterra Lucumí,Bournemouth,2023/24,43,7,685,2,2,1,18,0,0,0,0,2,0,81.7,£5.0m
740,Midfielder,Luis Sinisterra Lucumí,Bournemouth,2022/23,53,13,863,5,0,0,23,0,0,0,0,6,1,70.6,£5.0m
741,Midfielder,Romain Esse,Crystal Palace,2024/25,22,1,138,1,2,0,3,20,0,0,0,3,0,16.4,£5.0m
742,Midfielder,Tim Iroegbunam,Everton,2024/25,22,5,562,0,1,0,16,111,0,0,0,0,0,19.6,£5.0m
743,Midfielder,Tim Iroegbunam,Everton,2023/24,10,1,157,0,0,0,7,0,0,0,0,0,0,2.1,£5.0m
744,Midfielder,Tim Iroegbunam,Everton,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.0m
745,Defender,Leny Yoro,Man Utd,2024/25,22,12,1160,0,0,1,24,93,0,0,0,0,0,31.8,£4.5m
746,Midfielder,Endo Wataru,Liverpool,2024/25,21,1,259,0,0,0,5,41,0,0,0,0,0,10.0,£5.0m
747,Midfielder,Endo Wataru,Liverpool,2023/24,47,20,1714,1,0,6,16,0,0,0,0,0,0,60.1,£5.0m
748,Midfielder,Lewis Miley,Newcastle,2024/25,21,1,304,1,0,0,4,38,0,0,0,1,0,16.7,£4.5m
749,Midfielder,Lewis Miley,Newcastle,2023/24,44,14,1203,1,3,1,29,0,0,0,0,1,0,56.7,£4.5m
750,Midfielder,Lewis Miley,Newcastle,2022/23,1,0,14,0,0,0,0,0,0,0,0,0,0,0.0,£4.5m
751,Midfielder,Ibrahim Sangaré,Nott'm Forest,2024/25,20,7,584,0,1,2,6,93,0,0,0,0,0,23.2,£5.0m
752,Midfielder,Ibrahim Sangaré,Nott'm Forest,2023/24,25,13,1031,0,0,4,16,0,0,0,0,0,0,32.5,£5.0m
753,Defender,Ferdi Kadıoğlu,Brighton,2024/25,19,5,385,1,0,2,8,37,0,0,0,0,0,24.0,£4.5m
754,Midfielder,Cheick Doucouré,Crystal Palace,2024/25,19,4,443,0,1,1,6,68,0,0,0,0,0,10.8,£5.0m
755,Midfielder,Cheick Doucouré,Crystal Palace,2023/24,21,11,920,0,0,3,12,0,0,0,0,0,0,34.2,£5.0m
756,Midfielder,Cheick Doucouré,Crystal Palace,2022/23,74,34,2770,0,3,7,41,0,0,0,0,3,1,99.8,£5.0m
757,Goalkeeper,Mark Travers,Everton,2024/25,19,5,450,0,0,1,5,0,0,0,20,1,0,14.6,£4.5m
758,Goalkeeper,Mark Travers,Everton,2023/24,19,4,360,0,0,2,5,0,0,0,13,2,0,9.3,£4.5m
759,Goalkeeper,Mark Travers,Everton,2022/23,28,11,1035,0,0,2,32,0,0,0,36,1,0,29.1,£4.5m
760,Forward,William Osula,Newcastle,2024/25,19,0,124,1,0,0,3,9,0,0,0,1,0,10.5,£5.5m
761,Forward,William Osula,Newcastle,2023/24,25,9,778,0,1,0,23,0,0,0,0,0,0,24.4,£5.5m
762,Forward,William Osula,Newcastle,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.5m
763,Midfielder,Mikey Moore,Spurs,2024/25,19,3,359,0,2,0,5,19,0,0,0,0,0,11.0,£5.0m
764,Midfielder,Mikey Moore,Spurs,2023/24,2,0,3,0,0,0,0,0,0,0,0,0,0,0.1,£5.0m
765,Defender,Igor Julio dos Santos de Paulo,Brighton,2024/25,18,10,959,0,0,1,17,61,0,0,0,0,0,24.9,£4.5m
766,Defender,Igor Julio dos Santos de Paulo,Brighton,2023/24,37,17,1631,0,0,2,26,0,0,0,0,1,0,45.8,£4.5m
767,Goalkeeper,Filip Jörgensen,Chelsea,2024/25,18,6,540,0,0,1,9,0,0,0,20,0,0,15.9,£4.5m
768,Defender,Nathaniel Clyne,Crystal Palace,2024/25,18,5,477,0,0,1,11,30,0,0,0,0,0,12.4,£4.0m
769,Defender,Nathaniel Clyne,Crystal Palace,2023/24,52,14,1335,0,1,5,16,0,0,0,0,0,0,27.0,£4.0m
770,Defender,Nathaniel Clyne,Crystal Palace,2022/23,44,19,1638,0,0,3,23,0,0,0,0,0,0,33.6,£4.0m
771,Midfielder,Kiernan Dewsbury-Hall,Everton,2024/25,18,2,257,0,1,0,3,26,0,0,0,1,0,12.6,£5.0m
772,Midfielder,Kiernan Dewsbury-Hall,Everton,2022/23,82,28,2305,2,3,7,41,0,0,0,0,5,1,123.7,£5.0m
773,Midfielder,Kiernan Dewsbury-Hall,Everton,2021/22,70,0,2101,1,2,8,27,0,0,0,0,4,0,110.6,£5.0m
774,Defender,Patrick Dorgu,Man Utd,2024/25,18,10,840,0,0,2,12,54,0,0,0,1,1,39.4,£4.5m
775,Defender,Sven Botman,Newcastle,2024/25,18,6,412,0,0,2,4,46,0,0,0,0,0,23.6,£5.0m
776,Defender,Sven Botman,Newcastle,2023/24,51,15,1375,2,2,3,29,0,1,0,0,4,0,55.5,£5.0m
777,Defender,Sven Botman,Newcastle,2022/23,129,35,3127,0,2,13,30,0,0,0,0,8,0,101.0,£5.0m
778,Defender,James Hill,Bournemouth,2024/25,17,6,443,0,1,1,9,55,0,0,0,0,0,16.6,£4.0m
779,Defender,James Hill,Bournemouth,2023/24,5,1,74,0,0,0,1,0,0,0,0,0,0,3.5,£4.0m
780,Defender,James Hill,Bournemouth,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£4.0m
781,Midfielder,Tyrique George,Chelsea,2024/25,17,1,177,1,1,1,0,9,0,0,0,0,0,17.1,£5.0m
782,Midfielder,Tyrique George,Chelsea,2023/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.0m
783,Defender,Emil Krafth,Newcastle,2024/25,17,2,334,0,0,1,2,26,0,0,0,0,0,9.3,£4.5m
784,Defender,Emil Krafth,Newcastle,2023/24,33,8,909,0,0,3,15,0,0,0,0,1,0,33.8,£4.5m
785,Defender,Emil Krafth,Newcastle,2022/23,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,£4.5m
786,Goalkeeper,Antonín Kinský,Spurs,2024/25,17,6,540,0,0,1,11,0,0,0,24,0,0,21.7,£4.0m
787,Defender,Kevin Danso,Spurs,2024/25,16,9,842,0,0,1,18,97,0,0,0,0,0,34.9,£4.5m
788,Defender,Kevin Danso,Spurs,2019/20,9,0,275,0,1,1,8,0,0,0,0,0,1,8.9,£4.5m
789,Defender,Nathan Patterson,Everton,2024/25,14,3,342,0,1,0,6,18,0,0,0,0,0,15.5,£4.5m
790,Defender,Nathan Patterson,Everton,2023/24,34,9,1000,0,2,2,21,0,0,0,0,3,0,37.3,£4.5m
